Who was the first Emperor of Rome?,
Julius Caesar,FALSE
Augustus,TRUE
Nero,FALSE
Caligula,FALSE
In which year did the French Revolution begin?,
1776,FALSE
1789,TRUE
1799,FALSE
1804,FALSE
Which ancient wonder was located in Alexandria?,
The Colossus,FALSE
The Hanging Gardens,FALSE
The Great Lighthouse,TRUE
The Statue of Zeus,FALSE
Who was the first Pharaoh to unify Upper and Lower Egypt?,
Ramesses II,FALSE
Tutankhamun,FALSE
Narmer,TRUE
Cleopatra,FALSE
What empire was ruled by Genghis Khan?,
Ottoman Empire,FALSE
Mongol Empire,TRUE
Roman Empire,FALSE
Persian Empire,FALSE
In which city was Archduke Franz Ferdinand assassinated in 1914?,
Vienna,FALSE
Berlin,FALSE
Sarajevo,TRUE
Prague,FALSE
Which country was the first to give women the right to vote?,
United States,FALSE
United Kingdom,FALSE
New Zealand,TRUE
France,FALSE
Who was the last Tsar of Russia?,
Alexander III,FALSE
Nicholas II,TRUE
Alexander II,FALSE
Ivan IV,FALSE
What year did the Berlin Wall fall?,
1987,FALSE
1988,FALSE
1989,TRUE
1991,FALSE
Which civilization built Machu Picchu?,
Aztec,FALSE
Maya,FALSE
Inca,TRUE
Olmec,FALSE
Who was the first President of the United States?,
John Adams,FALSE
Thomas Jefferson,FALSE
George Washington,TRUE
Benjamin Franklin,FALSE
In which country did the Industrial Revolution begin?,
France,FALSE
Germany,FALSE
United States,FALSE
England,TRUE
What was the name of the ship that sank in 1912?,
Lusitania,FALSE
Titanic,TRUE
Britannic,FALSE
Olympic,FALSE
Who led the Cuban Revolution?,
Che Guevara,FALSE
Fidel Castro,TRUE
Fulgencio Batista,FALSE
Raul Castro,FALSE
In which year did the United States declare independence?,
1774,FALSE
1775,FALSE
1776,TRUE
1777,FALSE
