What is the value of Pi to two decimal places?,
3.12,FALSE
3.14,TRUE
3.16,FALSE
3.18,FALSE
What is the square root of 144?,
11,FALSE
12,TRUE
13,FALSE
14,FALSE
How many degrees are in a right angle?,
45,FALSE
90,TRUE
180,FALSE
360,FALSE
What is 15% of 200?,
25,FALSE
30,TRUE
35,FALSE
40,FALSE
What is the next prime number after 7?,
8,FALSE
9,FALSE
10,FALSE
11,TRUE
What is 2 to the power of 10?,
512,FALSE
1024,TRUE
2048,FALSE
256,FALSE
What is the sum of angles in a triangle?,
90,FALSE
180,TRUE
270,FALSE
360,FALSE
What is the area of a circle with radius 5 using Pi as 3.14?,
62.8,FALSE
78.5,TRUE
31.4,FALSE
15.7,FALSE
If a train travels at 60 km/h for 2.5 hours how far does it go?,
120 km,FALSE
140 km,FALSE
150 km,TRUE
160 km,FALSE
What is the Roman numeral for 50?,
X,FALSE
L,TRUE
C,FALSE
D,FALSE
What is the cube of 3?,
6,FALSE
9,FALSE
27,TRUE
81,FALSE
What is the least common multiple of 4 and 6?,
8,FALSE
10,FALSE
12,TRUE
24,FALSE
What is 1/4 expressed as a percentage?,
20%,FALSE
25%,TRUE
30%,FALSE
40%,FALSE
How many edges does a cube have?,
8,FALSE
10,FALSE
12,TRUE
16,FALSE
What is the Fibonacci sequences 7th number starting 1 1 2 3?,
8,FALSE
11,FALSE
13,TRUE
21,FALSE
