What is the largest land animal on Earth?,
Hippopotamus,FALSE
African Elephant,TRUE
White Rhinoceros,FALSE
Giraffe,FALSE
How many hearts does an octopus have?,
1,FALSE
2,FALSE
3,TRUE
4,FALSE
What is the only mammal capable of true flight?,
Flying Squirrel,FALSE
Sugar Glider,FALSE
Bat,TRUE
Colugo,FALSE
What is a group of lions called?,
Pack,FALSE
Herd,FALSE
Pride,TRUE
Flock,FALSE
Which bird lays the largest eggs?,
Emu,FALSE
Condor,FALSE
Ostrich,TRUE
Albatross,FALSE
How many legs does a spider have?,
6,FALSE
8,TRUE
10,FALSE
12,FALSE
What is the fastest fish in the ocean?,
Tuna,FALSE
Swordfish,FALSE
Sailfish,TRUE
Marlin,FALSE
Which animal has the longest gestation period?,
Elephant,TRUE
Rhinoceros,FALSE
Giraffe,FALSE
Hippopotamus,FALSE
What is the only reptile that can survive in the Arctic?,
Iguana,FALSE
Komodo Dragon,FALSE
No reptile can,TRUE
Sea Turtle,FALSE
What is the name for a group of wolves?,
Pride,FALSE
Pack,TRUE
Clan,FALSE
Herd,FALSE
Which animal has stripes as unique as fingerprints?,
Cheetah,FALSE
Giraffe,FALSE
Zebra,TRUE
Tiger,FALSE
How do dolphins primarily communicate?,
Barking,FALSE
Singing,FALSE
Echolocation,TRUE
Chirping,FALSE
What is the largest species of shark?,
Great White Shark,FALSE
Hammerhead Shark,FALSE
Whale Shark,TRUE
Tiger Shark,FALSE
Which insect is the most common on Earth?,
Ant,FALSE
Beetle,TRUE
Fly,FALSE
Mosquito,FALSE
What is the term for animals that eat only plants?,
Carnivore,FALSE
Omnivore,FALSE
Herbivore,TRUE
Insectivore,FALSE
