What is the largest country by land area?,
Canada,FALSE
China,FALSE
Russia,TRUE
United States,FALSE
Which desert is the largest in the world?,
Sahara,FALSE
Gobi,FALSE
Antarctic Desert,TRUE
Arabian,FALSE
What is the capital of Australia?,
Sydney,FALSE
Melbourne,FALSE
Canberra,TRUE
Brisbane,FALSE
Which country has the most natural lakes?,
Russia,FALSE
Canada,TRUE
United States,FALSE
Finland,FALSE
What is the tallest mountain in the world?,
K2,FALSE
Mount Everest,TRUE
Kangchenjunga,FALSE
Lhotse,FALSE
Which river flows through Egypt?,
Congo,FALSE
Niger,FALSE
Nile,TRUE
Zambezi,FALSE
What is the smallest continent?,
Europe,FALSE
Antarctica,FALSE
Australia,TRUE
South America,FALSE
Which country has the longest coastline?,
Norway,FALSE
Canada,TRUE
Russia,FALSE
Indonesia,FALSE
What is the capital of Brazil?,
Rio de Janeiro,FALSE
Sao Paulo,FALSE
Brasilia,TRUE
Salvador,FALSE
In which country is the Amazon rainforest mostly located?,
Colombia,FALSE
Peru,FALSE
Brazil,TRUE
Venezuela,FALSE
What is the deepest lake in the world?,
Lake Superior,FALSE
Caspian Sea,FALSE
Lake Baikal,TRUE
Lake Tanganyika,FALSE
Which country contains the most of the Himalayan mountain range?,
India,FALSE
China,FALSE
Nepal,TRUE
Tibet,FALSE
What is the largest sea in the world?,
Caribbean Sea,FALSE
Mediterranean Sea,FALSE
South China Sea,TRUE
Arabian Sea,FALSE
Which African country has the largest population?,
Ethiopia,FALSE
Nigeria,TRUE
Egypt,FALSE
South Africa,FALSE
What is the name of the world's largest coral reef system?,
Mesoamerican Reef,FALSE
Great Barrier Reef,TRUE
New Caledonia Barrier Reef,FALSE
Red Sea Coral Reef,FALSE
