Who painted the Sistine Chapel ceiling?,
Leonardo da Vinci,FALSE
Raphael,FALSE
Michelangelo,TRUE
Donatello,FALSE
In which city is the Louvre museum located?,
Rome,FALSE
Madrid,FALSE
Paris,TRUE
Amsterdam,FALSE
What painting style is associated with Salvador Dali?,
Cubism,FALSE
Impressionism,FALSE
Surrealism,TRUE
Expressionism,FALSE
Who designed the Eiffel Tower?,
Gustave Courbet,FALSE
Gustave Eiffel,TRUE
Charles Garnier,FALSE
Haussmann,FALSE
Which artist cut off part of his own ear?,
Paul Gauguin,FALSE
Vincent van Gogh,TRUE
Henri de Toulouse-Lautrec,FALSE
Paul Cezanne,FALSE
What is the architectural style of the Parthenon?,
Doric,TRUE
Ionic,FALSE
Corinthian,FALSE
Gothic,FALSE
Who painted The Starry Night?,
Claude Monet,FALSE
Paul Gauguin,FALSE
Vincent van Gogh,TRUE
Georges Seurat,FALSE
In which country is the Taj Mahal located?,
Pakistan,FALSE
Bangladesh,FALSE
India,TRUE
Nepal,FALSE
What is the name of the famous incomplete Barcelona cathedral?,
Santa Maria del Mar,FALSE
Sagrada Familia,TRUE
Cathedral of Barcelona,FALSE
La Seu,FALSE
Which art movement was Pablo Picasso a pioneer of?,
Futurism,FALSE
Dadaism,FALSE
Cubism,TRUE
Fauvism,FALSE
What material did Michelangelo primarily use for sculpture?,
Bronze,FALSE
Clay,FALSE
Marble,TRUE
Limestone,FALSE
Who designed the Guggenheim Museum in New York?,
Le Corbusier,FALSE
Frank Lloyd Wright,TRUE
Mies van der Rohe,FALSE
Philip Johnson,FALSE
What is the term for a painting done on wet plaster?,
Tempera,FALSE
Fresco,TRUE
Encaustic,FALSE
Gouache,FALSE
Which city is home to the Colosseum?,
Athens,FALSE
Istanbul,FALSE
Rome,TRUE
Cairo,FALSE
What is the name of Leonardo da Vincis most famous portrait?,
The Last Supper,FALSE
Mona Lisa,TRUE
Lady with an Ermine,FALSE
Vitruvian Man,FALSE
