Who directed the movie Jurassic Park?,
James Cameron,FALSE
George Lucas,FALSE
Steven Spielberg,TRUE
Peter Jackson,FALSE
What is the highest-grossing film of all time?,
Avengers Endgame,FALSE
Avatar,TRUE
Titanic,FALSE
Star Wars,FALSE
Which TV show features the fictional city of Pawnee Indiana?,
The Office,FALSE
Parks and Recreation,TRUE
Community,FALSE
Brooklyn Nine-Nine,FALSE
Who played Iron Man in the Marvel Cinematic Universe?,
Chris Evans,FALSE
Chris Hemsworth,FALSE
Robert Downey Jr.,TRUE
Mark Ruffalo,FALSE
What film won the first Academy Award for Best Picture?,
Gone with the Wind,FALSE
Wings,TRUE
All Quiet on the Western Front,FALSE
Sunrise,FALSE
In Breaking Bad what does Walter White produce?,
Heroin,FALSE
Cocaine,FALSE
Methamphetamine,TRUE
LSD,FALSE
Which animated film features a character named Simba?,
Bambi,FALSE
The Lion King,TRUE
Tarzan,FALSE
The Jungle Book,FALSE
What year was the first Star Wars film released?,
1975,FALSE
1976,FALSE
1977,TRUE
1978,FALSE
Who played Jack Dawson in Titanic?,
Brad Pitt,FALSE
Johnny Depp,FALSE
Leonardo DiCaprio,TRUE
Matt Damon,FALSE
Which TV series is set in the fictional land of Westeros?,
The Witcher,FALSE
Game of Thrones,TRUE
Vikings,FALSE
Outlander,FALSE
What studio produced Toy Story?,
DreamWorks,FALSE
Disney,FALSE
Pixar,TRUE
Universal,FALSE
Who directed The Godfather?,
Martin Scorsese,FALSE
Francis Ford Coppola,TRUE
Brian De Palma,FALSE
Sidney Lumet,FALSE
Which film features the quote You cant handle the truth?,
A Few Good Men,TRUE
JFK,FALSE
The Firm,FALSE
Philadelphia,FALSE
What is the name of Batman's butler?,
James,FALSE
Alfred,TRUE
Thomas,FALSE
Richard,FALSE
Which show features a chemistry teacher turned drug kingpin?,
Narcos,FALSE
Ozark,FALSE
Breaking Bad,TRUE
Better Call Saul,FALSE
